48 114
	$program	$expr	$expr_and_or	$expr_cmp	$expr_add_sub	$expr_mul_div	$expr_unar	$function	$list_arg	$call_function_arg	$list_function	$block	$line	$cmd	$	and	or	==	!=	>	>=	<	<=	+	-	*	/	%	variable	number	(	)	not	=	function	,	{	}	;	if	else	while	do	for	return	break	continue	print	
56	.	.	.	.	.	.	.	.	.	.	.	.	.	.	r25	r25	r25	r25	r25	r25	r25	r25	r25	r25	r25	r25	r25	r25	r25	r25	r25	r25	r25	r25	r25	r25	r25	r25	r25	r25	r25	r25	r25	r25	r25	r25	r25	r25	
57	.	.	.	.	.	.	.	.	.	.	.	.	.	.	r26	r26	r26	r26	r26	r26	r26	r26	r26	r26	r26	r26	r26	r26	r26	r26	r26	r26	r26	r26	r26	r26	r26	r26	r26	r26	r26	r26	r26	r26	r26	r26	r26	r26	
58	.	s87	s16	s17	s18	s19	s20	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s25	s26	.	.	.	s21	s22	s23	.	s24	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
59	.	s88	s16	s17	s18	s19	s20	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s25	s26	.	.	.	s21	s22	s23	.	s24	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
60	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s89	.	.	.	.	.	.	
61	.	s90	s16	s17	s18	s19	s20	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s25	s26	.	.	.	s21	s22	s23	.	s24	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
62	.	.	.	.	.	.	.	.	.	.	.	.	.	.	r46	r46	r46	r46	r46	r46	r46	r46	r46	r46	r46	r46	r46	r46	r46	r46	r46	r46	r46	r46	r46	r46	r46	r46	r46	r46	r46	r46	r46	r46	r46	r46	r46	r46	
63	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s91	.	.	.	.	.	.	.	.	.	
64	.	.	.	.	.	.	.	.	.	.	.	.	.	.	r48	r48	r48	r48	r48	r48	r48	r48	r48	r48	r48	r48	r48	r48	r48	r48	r48	r48	r48	r48	r48	r48	r48	r48	r48	r48	r48	r48	r48	r48	r48	r48	r48	r48	
65	.	.	.	.	.	.	.	.	.	.	.	.	.	.	r49	r49	r49	r49	r49	r49	r49	r49	r49	r49	r49	r49	r49	r49	r49	r49	r49	r49	r49	r49	r49	r49	r49	r49	r49	r49	r49	r49	r49	r49	r49	r49	r49	r49	
